teamID_seasonID,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed,giveaways,goalsFor,hits,losses,missedShots,otLosses,points,shootingPctg,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins
10_20132014,1278,0.4825,5334,2760,2574,82,892,222,2592,36,865,8,84,0.0969,2290,600,TOR,Toronto Maple Leafs,0,38
9_20132014,955,0.5124,5189,2530,2659,82,757,229,2351,31,1092,14,88,0.085,2692,595,OTT,Ottawa Senators,0,37
52_20132014,1256,0.4688,4882,2593,2289,82,735,219,2313,35,1027,10,84,0.087,2516,526,WPG,Winnipeg Jets,0,37
4_20132014,1200,0.4997,5011,2507,2504,82,587,233,2174,30,1005,10,94,0.0935,2490,445,PHI,Philadelphia Flyers,0,42
27_20132014,1130,0.5197,4931,2368,2563,82,461,210,2173,30,998,15,89,0.084,2499,512,PHX,Phoenix Coyotes,0,37
5_20132014,1187,0.5097,4796,2351,2445,82,609,242,2162,24,865,7,109,0.0986,2454,386,PIT,Pittsburgh Penguins,0,51
2_20132014,1242,0.4718,4896,2586,2310,82,743,216,2092,37,931,11,79,0.0851,2537,665,NYI,New York Islanders,0,34
21_20132014,1202,0.4948,4907,2479,2428,82,535,245,2035,22,828,8,112,0.1012,2420,633,COL,Colorado Avalanche,0,52
24_20132014,1242,0.492,5266,2675,2591,82,670,263,2024,20,1019,8,116,0.1023,2569,447,ANA,Anaheim Ducks,0,54
6_20132014,1051,0.5159,4995,2418,2577,82,608,258,2008,19,987,9,117,0.0987,2613,552,BOS,Boston Bruins,0,54
7_20132014,1238,0.4679,4926,2621,2305,82,542,150,1992,51,778,10,52,0.0695,2156,455,BUF,Buffalo Sabres,0,21
3_20132014,1119,0.4882,4909,2512,2397,82,706,214,1905,31,993,6,96,0.0787,2719,564,NYR,New York Rangers,0,45
15_20132014,1211,0.4841,5032,2596,2436,82,626,225,1904,30,952,14,90,0.0932,2412,575,WSH,Washington Capitals,0,38
13_20132014,982,0.4826,4931,2551,2380,82,473,188,1860,45,953,8,66,0.0767,2451,523,FLA,Florida Panthers,0,29
19_20132014,1121,0.5186,4890,2354,2536,82,350,239,1839,23,1026,7,111,0.0995,2402,544,STL,St. Louis Blues,0,52
12_20132014,1096,0.5259,5042,2390,2652,82,734,205,1807,35,1058,11,83,0.08,2561,785,CAR,Carolina Hurricanes,0,36
22_20132014,1252,0.4901,4886,2491,2395,82,969,199,1751,44,837,9,67,0.0901,2208,578,EDM,Edmonton Oilers,0,29
8_20132014,1491,0.4956,5108,2576,2532,82,646,209,1722,28,942,8,100,0.0896,2330,446,MTL,Montréal Canadiens,0,46
23_20132014,1217,0.5136,4933,2399,2534,82,538,191,1710,35,1031,11,83,0.0755,2527,524,VAN,Vancouver Canucks,0,36
20_20132014,1423,0.4624,4872,2619,2253,82,738,202,1708,40,925,7,77,0.0918,2199,575,CGY,Calgary Flames,0,35
25_20132014,1210,0.5008,5127,2559,2568,82,793,231,1644,31,1107,11,91,0.0889,2597,569,DAL,Dallas Stars,0,40
14_20132014,1121,0.4923,4862,2468,2394,82,640,232,1642,27,996,9,101,0.0948,2446,512,TBL,Tampa Bay Lightning,0,46
